user_id,station_id,station_name,location_address,network_type,energy_consumed_kwh,email
1,391,Station_391,Houston,DC Fast Charger,60.71234573492677,user_1@example.com
2,428,Station_428,San Francisco,Level 1,12.339275203733752,user_2@example.com
3,181,Station_181,San Francisco,Level 2,19.12887570011548,user_3@example.com
4,327,Station_327,Houston,Level 1,79.45782398845503,user_4@example.com
5,108,Station_108,Los Angeles,Level 1,19.62910416772725,user_5@example.com
6,335,Station_335,San Francisco,DC Fast Charger,43.18113714248533,user_6@example.com
7,162,Station_162,Houston,Level 2,36.862139988267536,user_7@example.com
8,302,Station_302,Los Angeles,Level 2,51.46761685839947,user_8@example.com
9,493,Station_493,Los Angeles,Level 1,43.59237228216989,user_9@example.com
10,452,Station_452,Chicago,DC Fast Charger,78.86860745126785,user_10@example.com
11,206,Station_206,Los Angeles,DC Fast Charger,18.20619747737872,user_11@example.com
12,78,Station_78,San Francisco,DC Fast Charger,22.564929484106763,user_12@example.com
13,16,Station_16,San Francisco,Level 2,34.256452908516025,user_13@example.com
14,327,Station_327,Houston,Level 2,16.56106432522506,user_14@example.com
15,96,Station_96,Houston,Level 1,12.927545290947553,user_15@example.com
16,147,Station_147,Los Angeles,DC Fast Charger,27.354317884610715,user_16@example.com
17,2,Station_2,New York,DC Fast Charger,24.726937680708804,user_17@example.com
18,10,Station_10,Chicago,Level 2,23.824040473705303,user_18@example.com
19,434,Station_434,New York,Level 1,42.63801819167288,user_19@example.com
20,125,Station_125,Los Angeles,Level 2,48.48248430757049,user_20@example.com
21,81,Station_81,Los Angeles,Level 2,50.27906667357191,user_21@example.com
22,485,Station_485,New York,Level 1,59.1350316162392,user_22@example.com
23,140,Station_140,Chicago,DC Fast Charger,49.19642958971384,user_23@example.com
24,326,Station_326,New York,DC Fast Charger,68.44712632026376,user_24@example.com
25,150,Station_150,Houston,Level 1,27.60438468247694,user_25@example.com
26,288,Station_288,San Francisco,DC Fast Charger,40.178003499947216,user_26@example.com
27,361,Station_361,Houston,Level 1,43.487751224792326,user_27@example.com
28,340,Station_340,San Francisco,Level 1,10.338517723856468,user_28@example.com
29,129,Station_129,Los Angeles,Level 2,31.68448458657448,user_29@example.com
30,438,Station_438,Chicago,DC Fast Charger,56.59325685914933,user_30@example.com
31,239,Station_239,New York,DC Fast Charger,19.473800595427143,user_31@example.com
32,58,Station_58,Chicago,Level 1,38.28919933554271,user_32@example.com
33,198,Station_198,New York,Level 2,16.136238725396332,user_33@example.com
34,211,Station_211,Houston,Level 2,60.06708508895625,user_34@example.com
35,402,Station_402,Houston,DC Fast Charger,57.72437946101146,user_35@example.com
36,390,Station_390,New York,Level 1,37.37451606078376,user_36@example.com
37,45,Station_45,Chicago,DC Fast Charger,39.940563619980615,user_37@example.com
38,97,Station_97,New York,DC Fast Charger,73.38661952275571,user_38@example.com
39,279,Station_279,Los Angeles,Level 2,61.52075986084904,user_39@example.com
40,23,Station_23,Houston,Level 2,68.17785003637414,user_40@example.com
41,410,Station_410,Los Angeles,Level 2,67.51805822343026,user_41@example.com
42,461,Station_461,Houston,Level 2,39.398742356080696,user_42@example.com
43,391,Station_391,Houston,Level 1,12.049319706245154,user_43@example.com
44,335,Station_335,San Francisco,DC Fast Charger,77.0536063752363,user_44@example.com
45,44,Station_44,Los Angeles,Level 2,,user_45@example.com
